pitch,on,off,length,hand
85,215160,215292,132,1
86,215280,215412,132,1
85,215400,215532,132,1
83,215520,215652,132,1
81,215640,215772,132,1
79,215760,215892,132,1
78,215880,216012,132,1
76,216000,216132,132,1
78,216120,216252,132,1
79,216240,216372,132,1
78,216360,216492,132,1
76,216480,216612,132,1
74,216600,216732,132,1
73,216720,216852,132,1
71,216840,216972,132,1
73,216960,217092,132,1
74,217080,217212,132,1
73,217200,217332,132,1
69,217320,217452,132,1
74,217440,217560,120,1
79,217920,218052,132,1
81,218040,218172,132,1
79,218160,218292,132,1
76,218280,218412,132,1
79,218400,218532,132,1
78,218520,218652,132,1
76,218640,218772,132,1
